,name,country,lon,lat,humidity,temp_max,wind_speed,cloudness
0,Port Elizabeth,ZA,25.5701,-33.918,88,64.09,5.75,90
1,Yellowknife,CA,-114.3525,62.456,86,-16.58,5.75,90
2,Busselton,AU,115.3333,-33.65,58,76.08,19.08,71
3,Tiksi,RU,128.8694,71.6872,94,-17.97,7.07,100
4,Les Cayes,HT,-73.75,18.2,85,72.77,4.65,11
5,Kānkon,IN,74.0167,15.0167,59,84.0,8.48,1
6,Cape Town,ZA,18.4232,-33.9258,54,79.21,14.97,20
7,Bluff,NZ,168.3333,-46.6,75,53.8,19.93,84
8,Jamestown,US,-79.2353,42.097,77,26.19,5.99,90
9,Shakawe,BW,21.85,-18.3667,31,94.57,2.68,8
10,Qaanaaq,GL,-69.3632,77.484,70,27.52,12.06,100
11,São Filipe,CV,-24.4956,14.8961,67,75.63,5.32,0
12,Bengkulu,ID,102.2655,-3.8004,88,78.67,8.84,100
13,Sitka,US,-135.33,57.0531,59,30.09,0.0,90
14,Christchurch,NZ,172.6333,-43.5333,73,61.95,1.01,4
15,Macon,US,-88.9668,39.8667,74,34.72,10.36,1
16,Faya,SA,42.4509,18.3851,43,68.11,12.19,2
17,Thompson,CA,-97.8558,55.7435,74,-38.04,0.0,75
18,Rikitea,PF,-134.9692,-23.1203,75,76.53,8.66,40
19,Sinnamary,GF,-52.95,5.3833,91,78.1,9.69,98
20,Cherskiy,RU,161.3,68.75,100,-27.58,1.43,100
21,Laas,IT,10.7002,46.6166,57,41.88,3.42,75
22,Ushuaia,AR,-68.3,-54.8,40,53.26,12.66,0
23,Tual,ID,132.75,-5.6667,78,82.53,23.35,94
24,Suez,EG,32.5263,29.9737,46,63.66,6.58,100
25,Mogadishu,SO,45.3438,2.0371,71,83.88,19.84,98
26,Punta Arenas,CL,-70.9167,-53.15,62,55.42,13.8,75
27,Paamiut,GL,-49.6678,61.994,90,33.93,7.85,100
28,Adrar,MR,-10.0711,20.5022,19,75.09,15.37,0
29,Kondinskoye,RU,67.41,59.6481,99,-4.65,5.75,8
30,Saint-Pierre,RE,55.4781,-21.3393,74,85.28,12.66,0
31,Dikson,RU,80.5464,73.5069,78,10.26,21.07,100
32,Sisimiut,GL,-53.6735,66.9395,93,27.16,4.34,100
33,Hilo,US,-155.09,19.7297,46,69.12,6.91,90
34,Poum,NC,164.0167,-20.2333,77,80.62,6.29,15
35,Henties Bay,NA,14.2845,-22.116,60,67.86,11.27,0
36,Bilma,NE,12.9164,18.6853,13,73.2,7.7,69
37,Yangi Marg`ilon,UZ,71.7189,40.4272,66,48.92,4.61,75
38,Saint-Augustin,CA,-58.6502,51.226,90,25.84,31.94,100
39,Niesky,DE,14.8211,51.2924,74,32.25,16.96,100
40,Road Town,VG,-64.6167,18.4167,78,78.89,11.5,40
41,Yook,PH,121.964,13.2261,87,77.83,5.79,92
42,Mwinilunga,ZM,24.4293,-11.7358,81,69.57,1.39,100
43,Urengoy,RU,78.3667,65.9667,91,12.88,22.06,100
44,Brae,GB,-1.353,60.3964,69,42.71,19.44,95
45,Kanhangad,IN,75.1063,12.3081,72,80.17,7.4,5
46,Saint Paul Harbor,US,-152.4072,57.79,63,36.93,22.44,12
47,Seabra,BR,-41.7703,-12.4186,91,70.07,2.42,98
48,East London,ZA,27.9116,-33.0153,94,61.74,8.05,90
49,Norman Wells,CA,-126.8329,65.282,76,-20.16,4.61,20
50,Atuona,PF,-139.0333,-9.8,82,77.79,21.45,22
51,Hīt,IQ,42.8251,33.6416,46,62.46,14.16,86
52,Nanortalik,GL,-45.2371,60.1432,65,32.76,10.58,100
53,Gornozavodsk,RU,58.3211,58.3758,98,-0.58,2.24,100
54,Tateyama,JP,139.8667,34.9833,64,49.1,9.04,99
55,Eyemouth,GB,-2.0901,55.8713,94,41.04,6.22,100
56,Yarmouth,US,-70.2286,41.7057,63,32.97,24.0,1
57,Portland,US,-122.6762,45.5234,93,48.13,1.01,90
58,Nikolskoye,RU,30.7861,59.7035,85,27.01,15.37,100
59,Puerto Ayora,EC,-90.3518,-0.7393,93,69.03,7.16,100
60,San Jerónimo,PE,-75.2829,-11.9472,72,51.82,0.31,99
61,Barrow,US,-156.7887,71.2906,77,-5.78,18.41,90
62,Hasaki,JP,140.8333,35.7333,48,35.89,7.92,88
63,Kangaba,ML,-8.4167,11.9333,10,89.49,8.7,43
64,La Ronge,CA,-105.2842,55.1001,78,-1.95,8.05,90
65,Arraial do Cabo,BR,-42.0278,-22.9661,88,76.86,14.97,90
66,Mataura,NZ,168.8643,-46.1927,98,53.47,1.9,44
67,Leningradskiy,RU,178.4167,69.3833,92,-11.56,10.94,100
68,Ponta do Sol,PT,-17.1,32.6667,90,68.0,3.22,99
69,Mar del Plata,AR,-57.5575,-38.0023,85,68.02,7.0,0
70,Bredasdorp,ZA,20.0403,-34.5322,64,67.32,18.41,100
71,Albany,US,-73.9662,42.6001,58,23.36,4.0,11
72,Estelle,US,-90.1067,29.8458,89,50.0,0.0,20
73,Kapaa,US,-159.319,22.0752,75,73.72,1.99,90
74,Monte Alegre,BR,-54.0692,-2.0078,73,81.27,5.1,100
75,Bjørkelangen,NO,11.5694,59.8848,82,26.87,2.91,47
76,Jutaí,BR,-68.9,-5.1833,90,77.54,1.25,97
77,Husavik,IS,-17.3389,66.0449,83,21.11,7.65,96
78,Srednekolymsk,RU,153.6833,67.45,99,-30.41,5.79,100
79,Ucluelet,CA,-125.5528,48.9329,92,34.95,2.53,82
80,Saint George,US,-113.5841,37.1041,81,47.32,3.44,90
81,Lakes Entrance,AU,147.981,-37.8811,81,55.45,1.45,61
82,Asău,RO,26.4,46.4333,57,28.4,3.69,10
83,Severo-Kuril'sk,RU,156.125,50.6789,69,28.58,27.49,87
84,Ubari,LY,12.7805,26.5921,19,64.24,4.56,23
85,Chui,UY,-53.4616,-33.6971,56,72.91,7.31,0
86,Fortuna,US,-124.1573,40.5982,96,53.33,3.0,90
87,Chokurdakh,RU,147.9167,70.6333,99,-19.07,6.55,100
88,Khatanga,RU,102.5,71.9667,97,-33.09,4.92,90
89,Merauke,ID,140.3333,-8.4667,87,78.13,7.81,100
90,Karachi,PK,67.0822,24.9056,69,76.82,9.22,75
