,name,country,lon,lat,humidity,temp_max,wind_speed,cloudness
0,Yellowknife,CA,-114.3525,62.456,85,-17.59,4,100
1,Barrow,US,-156.7887,71.2906,69,-16.58,0,1
2,Hobart,AU,147.3294,-42.8794,70,62.02,1.01,75
3,Vila Velha,BR,-40.2925,-20.3297,97,73.94,7.43,100
4,East London,ZA,27.9116,-33.0153,77,75.51,6.31,100
5,Saint-Augustin,CA,-58.6502,51.226,83,29.89,18.81,100
6,Kapaa,US,-159.319,22.0752,59,69.78,2.95,0
7,Rundu,NA,19.7667,-17.9333,84,70.03,7.87,100
8,Khatanga,RU,102.5,71.9667,99,-5.42,6.55,99
9,Mataura,NZ,168.8643,-46.1927,76,64.47,1.43,92
10,Bluff,NZ,168.3333,-46.6,88,64.8,10.49,52
11,Severo-Kuril'sk,RU,156.125,50.6789,96,30.15,3.67,100
12,Jamestown,US,-79.2353,42.097,85,21.09,11.99,100
13,Ushuaia,AR,-68.3,-54.8,92,42.26,11.95,100
14,Nikolskoye,RU,30.7861,59.7035,99,22.89,2.77,99
15,Opuwo,NA,13.84,-18.0607,16,73.15,4.74,100
16,Waingapu,ID,120.2641,-9.6567,61,86.61,8.95,57
17,Nara,JP,135.8049,34.6851,43,52.97,3.67,3
18,Cabo San Lucas,MX,-109.9124,22.8909,65,67.6,4.23,100
19,Dikson,RU,80.5464,73.5069,100,-17.27,2.59,91
20,Kaitangata,NZ,169.8464,-46.2817,82,59.88,5.19,85
21,Yangi Marg`ilon,UZ,71.7189,40.4272,56,40.42,2.3,75
22,Saldanha,ZA,17.9442,-33.0117,78,67.89,12.62,24
23,Port Alfred,ZA,26.891,-33.5906,67,77.47,5.37,100
24,Qaanaaq,GL,-69.3632,77.484,66,4.14,7.65,87
25,Roebourne,AU,117.1333,-20.7833,40,92.44,14.09,4
26,Ponta do Sol,PT,-17.1,32.6667,39,63.23,7.63,100
27,Nhulunbuy,AU,136.7667,-12.2333,70,90.21,9.22,100
28,Castro,BR,-50.0119,-24.7911,99,55.27,2.66,99
29,Jinhua,CN,119.6547,29.1078,75,50.59,1.5,100
